name,artist,,,tags,,year,,,,,,,,,
Boulevard of Broken Dreams,Green Day,,,"rock, alternative, alternative_rock, punk, punk_rock",,2004,,,,,,,,,
Back in Black,AC/DC,,,"rock, metal, classic_rock, hard_rock, 80s, heavy_metal",,1980,,,,,,,,,
Float On,Modest Mouse,,,"rock, alternative, indie, alternative_rock, indie_rock, indie_pop, 00s",,2004,,,,,,,,,
Bring Me to Life,Evanescence,,,"rock, alternative, female_vocalists, metal, alternative_rock, gothic_metal, gothic",,2003,,,,,,,,,
Can't Stop,Red Hot Chili Peppers,,,"rock, alternative, alternative_rock, funk",,2002,,,,,,,,,
She Will Be Loved,Maroon 5,,,"rock, alternative, pop, alternative_rock, love, pop_rock",,2011,,,,,,,,,
Nothing Else Matters,Metallica,,,"rock, metal, hard_rock, heavy_metal, thrash_metal, 90s",,1991,,,,,,,,,
Paradise City,Guns N' Roses,,,"rock, metal, classic_rock, hard_rock, 80s, heavy_metal",,1998,,,,,,,,,
Naïve,The Kooks,,,"rock, alternative, indie, indie_rock, british, britpop",,2012,,,,,,,,,
Trouble,Coldplay,,,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, chillout, piano, beautiful, britpop, mellow",,2011,,,,,,,,,
In My Place,Coldplay,,,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, chillout, 00s, britpop, mellow",,2012,,,,,,,,,
No One Knows,Queens of the Stone Age,,,"rock, alternative, alternative_rock, hard_rock, 00s",,2007,,,,,,,,,
Rape Me,Nirvana,,,"rock, alternative, alternative_rock, 90s, grunge",,1993,,,,,,,,,
Polly,Nirvana,,,"rock, alternative, alternative_rock, 90s, acoustic, grunge",,1994,,,,,,,,,
Hurt,Johnny Cash,,,"rock, classic_rock, folk, singer_songwriter, acoustic, country, beautiful, cover",,2007,,,,,,,,,
High and Dry,Radiohead,,,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, acoustic, beautiful, britpop",,2008,,,,,,,,,
Such Great Heights,The Postal Service,,,"rock, electronic, alternative, indie, pop, indie_rock, indie_pop, love",,2003,,,,,,,,,
Mardy Bum,Arctic Monkeys,,,"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop",,2006,,,,,,,,,
Fake Plastic Trees,Radiohead,,,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, love, beautiful, britpop, mellow",,1995,,,,,,,,,
Sweet Home Alabama,Lynyrd Skynyrd,,,"rock, classic_rock, 70s, blues_rock",,1998,,,,,,,,,
This Love,Maroon 5,,,"rock, alternative, pop, alternative_rock, love, 00s, pop_rock",,2007,,,,,,,,,
Don't Look Back in Anger,Oasis,,,"rock, alternative, indie, alternative_rock, british, 90s, britpop",,1995,,,,,,,,,
Speed of Sound,Coldplay,,,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, piano, 00s, britpop, mellow",,2008,,,,,,,,,
Break on Through (to the Other Side),The Doors,,,"rock, classic_rock, psychedelic, 60s, psychedelic_rock",,1972,,,,,,,,,
Here Without You,3 Doors Down,,,"rock, alternative, alternative_rock, love",,2008,,,,,,,,,
Black Hole Sun,Soundgarden,,,"rock, alternative, alternative_rock, 90s, grunge",,2016,,,,,,,,,
Sultans of Swing,Dire Straits,,,"rock, classic_rock, 80s, 70s, guitar",,2013,,,,,,,,,
Another One Bites the Dust,Queen,,,"rock, classic_rock, hard_rock, 80s, british",,2009,,,,,,,,,
Learn to Fly,Foo Fighters,,,"rock, alternative, alternative_rock, 90s, grunge",,2009,,,,,,,,,
Kryptonite,3 Doors Down,,,"rock, alternative, alternative_rock, hard_rock",,2012,,,,,,,,,
Radioactive,Imagine Dragons,,,"rock, alternative, indie, alternative_rock, indie_rock, american",,2013,,,,,,,,,
Are You Gonna Be My Girl,Jet,,,"rock, alternative, indie, alternative_rock, indie_rock",,2012,,,,,,,,,
Wake Me Up When September Ends,Green Day,,,"rock, alternative, indie, alternative_rock, punk, punk_rock, american, 00s",,2013,,,,,,,,,
Last Nite,The Strokes,,,"rock, alternative, indie, alternative_rock, indie_rock, 00s",,2001,,,,,,,,,
All Apologies,Nirvana,,,"rock, alternative, alternative_rock, 90s, grunge",,1993,,,,,,,,,
Fake Tales of San Francisco,Arctic Monkeys,,,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",,2006,,,,,,,,,
Don't Stop Me Now,Queen,,,"rock, classic_rock, 80s, british, 70s",,1979,,,,,,,,,
Fluorescent Adolescent,Arctic Monkeys,,,"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop",,2007,,,,,,,,,
Buddy Holly,Weezer,,,"rock, alternative, indie, alternative_rock, indie_rock, 90s, american",,1994,,,,,,,,,
Island in the Sun,Weezer,,,"rock, alternative, indie, pop, alternative_rock, indie_rock, 90s, 00s, mellow, chill",,2009,,,,,,,,,
Banquet,Bloc Party,,,"rock, alternative, indie, alternative_rock, indie_rock, british, post_punk, britpop",,2011,,,,,,,,,
Fortunate Son,Creedence Clearwater Revival,,,"rock, classic_rock, 60s",,2005,,,,,,,,,
1979,The Smashing Pumpkins,,,"rock, alternative, indie, alternative_rock, 90s, grunge",,2013,,,,,,,,,
Lonely Day,System of a Down,,,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",,2010,,,,,,,,,
Every Breath You Take,The Police,,,"rock, pop, classic_rock, 80s, british, new_wave",,2013,,,,,,,,,
How You Remind Me,Nickelback,,,"rock, alternative, alternative_rock, hard_rock",,2001,,,,,,,,,
Don't Speak,No Doubt,,,"rock, alternative, pop, female_vocalists, alternative_rock, 90s, love, pop_rock, ska",,2004,,,,,,,,,
Light My Fire,The Doors,,,"rock, classic_rock, psychedelic, 60s, psychedelic_rock",,2012,,,,,,,,,
We Will Rock You,Queen,,,"rock, classic_rock, hard_rock, 80s, british, 70s",,2006,,,,,,,,,
Dream On,Aerosmith,,,"rock, classic_rock, hard_rock, 70s",,2011,,,,,,,,,
The Kids Aren't Alright,The Offspring,,,"rock, alternative, alternative_rock, punk, punk_rock, 90s",,2005,,,,,,,,,
Everything in Its Right Place,Radiohead,,,"rock, electronic, alternative, indie, alternative_rock, ambient, experimental, british, chillout",,2000,,,,,,,,,
Boys Don't Cry,The Cure,,,"rock, alternative, indie, pop, alternative_rock, 80s, british, new_wave, post_punk",,2001,,,,,,,,,
Just Like Heaven,The Cure,,,"rock, alternative, pop, alternative_rock, 80s, british, new_wave, post_punk, love",,2003,,,,,,,,,
One Step Closer,Linkin Park,,,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",,2000,,,,,,,,,
Violet Hill,Coldplay,,,"rock, alternative, indie, pop, alternative_rock, british, 00s, britpop",,2008,,,,,,,,,
Beautiful Day,U2,,,"rock, alternative, pop, classic_rock, pop_rock",,2007,,,,,,,,,
With or Without You,U2,,,"rock, alternative, pop, classic_rock, 80s, love",,1998,,,,,,,,,
I Hate Everything About You,Three Days Grace,,,"rock, alternative, metal, alternative_rock, hard_rock",,2011,,,,,,,,,
The Reason,Hoobastank,,,"rock, alternative, pop, alternative_rock, love, pop_rock",,2010,,,,,,,,,
November Rain,Guns N' Roses,,,"rock, classic_rock, hard_rock, 80s, 90s",,2004,,,,,,,,,
People Are Strange,The Doors,,,"rock, classic_rock, psychedelic, 60s, psychedelic_rock",,2006,,,,,,,,,
